Event Name                                                       ,    Lat ,Lng     ,Depth(km), Mag
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_6.0_2007-3-1-23       ,26.5,-44.6,12.0,6.0
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_6.0_2009-6-6-20       ,23.9,-46.1,12.0,6.0
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_6.0_2013-9-5-4        ,15.3,-45.0,12.0,6.0
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_6.3_2010-5-25-10      ,35.3,-35.8,15.0,6.3
GCMT_event_NORTHERN_MID-ATLANTIC_RIDGE_Mag_6.5_2013-6-24-22      ,10.9,-42.5,18.0,6.5
GCMT_event_NORTHWESTERN_CAUCASUS_Mag_5.8_2012-12-23-13           ,42.5,41.0,15.0,5.8
GCMT_event_NORTHWESTERN_CAUCASUS_Mag_6.0_2009-9-7-22             ,42.6,43.5,13.0,6.0
GCMT_event_NORTHWEST_OF_MADAGASCAR_Mag_5.8_2008-8-27-6           ,-10.6,41.4,29.0,5.8
GCMT_event_NORTH_OF_ASCENSION_ISLAND_Mag_5.5_2010-7-31-11        ,-0.8,-16.1,12.0,5.5
GCMT_event_NORTH_OF_ASCENSION_ISLAND_Mag_5.6_2012-5-9-14         ,-0.7,-13.4,17.0,5.6
GCMT_event_NORTH_OF_ASCENSION_ISLAND_Mag_5.7_2011-2-12-2         ,0.3,-17.1,15.0,5.7
GCMT_event_NORTH_OF_ASCENSION_ISLAND_Mag_5.7_2011-8-14-1         ,-1.0,-14.4,25.0,5.7
GCMT_event_NORTH_OF_ASCENSION_ISLAND_Mag_5.9_2011-11-29-0        ,-1.3,-15.6,12.0,5.9
GCMT_event_NORTH_OF_ASCENSION_ISLAND_Mag_5.9_2012-4-10-5         ,-0.9,-13.9,20.0,5.9
GCMT_event_NORTH_OF_ASCENSION_ISLAND_Mag_6.2_2007-5-4-12         ,-1.1,-14.9,12.0,6.2
GCMT_event_NORTH_OF_ASCENSION_ISLAND_Mag_6.2_2007-7-31-22        ,0.0,-17.9,21.0,6.2
GCMT_event_NORTH_OF_ASCENSION_ISLAND_Mag_6.3_2008-8-28-15        ,0.2,-17.4,21.0,6.3
GCMT_event_OFF_COAST_OF_PAKISTAN_Mag_5.8_2008-12-25-22           ,23.2,64.4,12.0,5.8
GCMT_event_OWEN_FRACTURE_ZONE_REGION_Mag_5.5_2012-2-4-21         ,13.0,57.5,12.0,5.5
GCMT_event_OWEN_FRACTURE_ZONE_REGION_Mag_5.7_2009-4-15-10        ,12.3,58.0,17.0,5.7
GCMT_event_OWEN_FRACTURE_ZONE_REGION_Mag_5.8_2013-10-2-1         ,11.3,57.4,19.0,5.8
GCMT_event_OWEN_FRACTURE_ZONE_REGION_Mag_5.9_2013-5-27-3         ,14.5,53.7,17.0,5.9
GCMT_event_PAKISTAN_Mag_5.8_2013-9-24-17                         ,27.0,65.5,15.0,5.8
